entity_id,type,unit,2026-02-28T23:00:00.000Z,2026-02-28T23:05:00.000Z,2026-02-28T23:10:00.000Z,2026-02-28T23:15:00.000Z,2026-02-28T23:20:00.000Z,2026-02-28T23:25:00.000Z,2026-02-28T23:30:00.000Z,2026-02-28T23:35:00.000Z,2026-02-28T23:40:00.000Z,2026-02-28T23:45:00.000Z,2026-02-28T23:50:00.000Z,2026-02-28T23:55:00.000Z,2026-03-01T00:00:00.000Z,2026-03-01T00:05:00.000Z,2026-03-01T00:10:00.000Z,2026-03-01T00:15:00.000Z,2026-03-01T00:20:00.000Z,2026-03-01T00:25:00.000Z,2026-03-01T00:30:00.000Z,2026-03-01T00:35:00.000Z,2026-03-01T00:40:00.000Z,2026-03-01T00:45:00.000Z,2026-03-01T00:50:00.000Z,2026-03-01T00:55:00.000Z,2026-03-01T01:00:00.000Z,2026-03-01T01:05:00.000Z,2026-03-01T01:10:00.000Z,2026-03-01T01:15:00.000Z,2026-03-01T01:20:00.000Z,2026-03-01T01:25:00.000Z,2026-03-01T01:30:00.000Z,2026-03-01T01:35:00.000Z,2026-03-01T01:40:00.000Z,2026-03-01T01:45:00.000Z,2026-03-01T01:50:00.000Z,2026-03-01T01:55:00.000Z,2026-03-01T02:00:00.000Z,2026-03-01T02:05:00.000Z,2026-03-01T02:10:00.000Z,2026-03-01T02:15:00.000Z,2026-03-01T02:20:00.000Z,2026-03-01T02:25:00.000Z,2026-03-01T02:30:00.000Z,2026-03-01T02:35:00.000Z,2026-03-01T02:40:00.000Z,2026-03-01T02:45:00.000Z,2026-03-01T02:50:00.000Z,2026-03-01T02:55:00.000Z,2026-03-01T03:00:00.000Z,2026-03-01T03:05:00.000Z,2026-03-01T03:10:00.000Z,2026-03-01T03:15:00.000Z,2026-03-01T03:20:00.000Z,2026-03-01T03:25:00.000Z,2026-03-01T03:30:00.000Z,2026-03-01T03:35:00.000Z,2026-03-01T03:40:00.000Z,2026-03-01T03:45:00.000Z,2026-03-01T03:50:00.000Z,2026-03-01T03:55:00.000Z,2026-03-01T04:00:00.000Z,2026-03-01T04:05:00.000Z,2026-03-01T04:10:00.000Z,2026-03-01T04:15:00.000Z,2026-03-01T04:20:00.000Z,2026-03-01T04:25:00.000Z,2026-03-01T04:30:00.000Z,2026-03-01T04:35:00.000Z,2026-03-01T04:40:00.000Z,2026-03-01T04:45:00.000Z,2026-03-01T04:50:00.000Z,2026-03-01T04:55:00.000Z,2026-03-01T05:00:00.000Z,2026-03-01T05:05:00.000Z,2026-03-01T05:10:00.000Z,2026-03-01T05:15:00.000Z,2026-03-01T05:20:00.000Z,2026-03-01T05:25:00.000Z,2026-03-01T05:30:00.000Z,2026-03-01T05:35:00.000Z,2026-03-01T05:40:00.000Z,2026-03-01T05:45:00.000Z,2026-03-01T05:50:00.000Z,2026-03-01T05:55:00.000Z,2026-03-01T06:00:00.000Z,2026-03-01T06:05:00.000Z,2026-03-01T06:10:00.000Z,2026-03-01T06:15:00.000Z,2026-03-01T06:20:00.000Z,2026-03-01T06:25:00.000Z,2026-03-01T06:30:00.000Z,2026-03-01T06:35:00.000Z,2026-03-01T06:40:00.000Z,2026-03-01T06:45:00.000Z,2026-03-01T06:50:00.000Z,2026-03-01T06:55:00.000Z,2026-03-01T07:00:00.000Z,2026-03-01T07:05:00.000Z,2026-03-01T07:10:00.000Z,2026-03-01T07:15:00.000Z,2026-03-01T07:20:00.000Z,2026-03-01T07:25:00.000Z,2026-03-01T07:30:00.000Z,2026-03-01T07:35:00.000Z,2026-03-01T07:40:00.000Z,2026-03-01T07:45:00.000Z,2026-03-01T07:50:00.000Z,2026-03-01T07:55:00.000Z,2026-03-01T08:00:00.000Z,2026-03-01T08:05:00.000Z,2026-03-01T08:10:00.000Z,2026-03-01T08:15:00.000Z,2026-03-01T08:20:00.000Z,2026-03-01T08:25:00.000Z,2026-03-01T08:30:00.000Z,2026-03-01T08:35:00.000Z,2026-03-01T08:40:00.000Z,2026-03-01T08:45:00.000Z,2026-03-01T08:50:00.000Z,2026-03-01T08:55:00.000Z,2026-03-01T09:00:00.000Z,2026-03-01T09:05:00.000Z,2026-03-01T09:10:00.000Z,2026-03-01T09:15:00.000Z,2026-03-01T09:20:00.000Z,2026-03-01T09:25:00.000Z,2026-03-01T09:30:00.000Z,2026-03-01T09:35:00.000Z,2026-03-01T09:40:00.000Z,2026-03-01T09:45:00.000Z,2026-03-01T09:50:00.000Z,2026-03-01T09:55:00.000Z,2026-03-01T10:00:00.000Z,2026-03-01T10:05:00.000Z,2026-03-01T10:10:00.000Z,2026-03-01T10:15:00.000Z,2026-03-01T10:20:00.000Z,2026-03-01T10:25:00.000Z,2026-03-01T10:30:00.000Z,2026-03-01T10:35:00.000Z,2026-03-01T10:40:00.000Z,2026-03-01T10:45:00.000Z,2026-03-01T10:50:00.000Z,2026-03-01T10:55:00.000Z,2026-03-01T11:00:00.000Z,2026-03-01T11:05:00.000Z,2026-03-01T11:10:00.000Z,2026-03-01T11:15:00.000Z,2026-03-01T11:20:00.000Z,2026-03-01T11:25:00.000Z,2026-03-01T11:30:00.000Z,2026-03-01T11:35:00.000Z,2026-03-01T11:40:00.000Z,2026-03-01T11:45:00.000Z,2026-03-01T11:50:00.000Z,2026-03-01T11:55:00.000Z,2026-03-01T12:00:00.000Z,2026-03-01T12:05:00.000Z,2026-03-01T12:10:00.000Z,2026-03-01T12:15:00.000Z,2026-03-01T12:20:00.000Z,2026-03-01T12:25:00.000Z,2026-03-01T12:30:00.000Z,2026-03-01T12:35:00.000Z,2026-03-01T12:40:00.000Z,2026-03-01T12:45:00.000Z,2026-03-01T12:50:00.000Z,2026-03-01T12:55:00.000Z,2026-03-01T13:00:00.000Z,2026-03-01T13:05:00.000Z,2026-03-01T13:10:00.000Z,2026-03-01T13:15:00.000Z,2026-03-01T13:20:00.000Z,2026-03-01T13:25:00.000Z,2026-03-01T13:30:00.000Z,2026-03-01T13:35:00.000Z,2026-03-01T13:40:00.000Z,2026-03-01T13:45:23.599Z
sensor.electricity_meter_energy_consumption_tarif_1,grid_consumption,kWh,0.26499999999987267,,,,,,,,,,,,0.27500000000009095,,,,,,,,,,,,0.28900000000021464,,,,,,,,,,,,0.26399999999966894,,,,,,,,,,,,0.2760000000002947,,,,,,,,,,,,0.32600000000002183,,,,,,,,,,,,1.288000000000011,,,,,,,,,,,,2.8159999999998035,,,,,,,,,,,,0.843000000000302,,,,,,,,,,,,0.31699999999955253,,,,,,,,,,,,0.24200000000018917,,,,,,,,,,,,0.04899999999997817,,,,,,,,,,,,0.13000000000010914,,,,,,,,,,,,0.25700000000006185,,,,,,,,,,,,,,,,,,,,,
sensor.electricity_meter_energy_consumption_tarif_2,grid_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
sensor.electricity_meter_energy_consumption_tarif_1_cost,grid_consumption_cost,EUR,0.06050745000004554,,,,,,,,,,,,0.06279074999997647,,,,,,,,,,,,0.0659873700000162,,,,,,,,,,,,0.06027911999990465,,,,,,,,,,,,0.06301908000011736,,,,,,,,,,,,0.0744355799998857,,,,,,,,,,,,0.2940890400001308,,,,,,,,,,,,0.6413789699996642,,,,,,,,,,,,0.19248219000007794,,,,,,,,,,,,0.0723806099997546,,,,,,,,,,,,0.055255860000102075,,,,,,,,,,,,0.011188169999968522,,,,,,,,,,,,0.029682900000011614,,,,,,,,,,,,0.058680810000169004,,,,,,,,,,,,,,,,,,,,,
sensor.electricity_meter_energy_consumption_tarif_2_cost,grid_consumption_cost,EUR,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
sensor.electricity_meter_energy_production_tarif_1,grid_return,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.13999999999998636,,,,,,,,,,,,0.3790000000000191,,,,,,,,,,,,0.6320000000000618,,,,,,,,,,,,0.8399999999999181,,,,,,,,,,,,1.7830000000000155,,,,,,,,,,,,1.1820000000000164,,,,,,,,,,,,,,,,,,,,,
sensor.electricity_meter_energy_production_tarif_2,grid_return,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
sensor.electricity_meter_energy_production_tarif_1_compensation,grid_return_compensation,EUR,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.03196619999999939,,,,,,,,,,,,0.08653706999999145,,,,,,,,,,,,0.14430456000002323,,,,,,,,,,,,0.1917971999999395,,,,,,,,,,,,0.40711238999998045,,,,,,,,,,,,0.26988605999997617,,,,,,,,,,,,,,,,,,,,,
sensor.electricity_meter_energy_production_tarif_2_compensation,grid_return_compensation,EUR,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
sensor.solar_production_front,solar_production,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.0039999999999054126,,,,,,,,,,,,0.13000000000010914,,,,,,,,,,,,0.3329999999998563,,,,,,,,,,,,0.38200000000006185,,,,,,,,,,,,0.31999999999993634,,,,,,,,,,,,0.29700000000002547,,,,,,,,,,,,0.7129999999999654,,,,,,,,,,,,,,,,,,,,,
sensor.solar_production_rear,solar_production,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.005000000000109139,,,,,,,,,,,,0.32199999999988904,,,,,,,,,,,,2.0150000000001,,,,,,,,,,,,1.390999999999849,,,,,,,,,,,,3.0300000000002,,,,,,,,,,,,2.7129999999999654,,,,,,,,,,,,1.7619999999999436,,,,,,,,,,,,,,,,,,,,,
sensor.solar_production_rear_extenstion,solar_production,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.00100000000009004,,,,,,,,,,,,0.07399999999995543,,,,,,,,,,,,0.2419999999999618,,,,,,,,,,,,0.3290000000000646,,,,,,,,,,,,0.8099999999999454,,,,,,,,,,,,0.7509999999999764,,,,,,,,,,,,0.8460000000000036,,,,,,,,,,,,,,,,,,,,,
