entity_id,type,unit,2026-03-07T23:00:00.000Z,2026-03-07T23:05:00.000Z,2026-03-07T23:10:00.000Z,2026-03-07T23:15:00.000Z,2026-03-07T23:20:00.000Z,2026-03-07T23:25:00.000Z,2026-03-07T23:30:00.000Z,2026-03-07T23:35:00.000Z,2026-03-07T23:40:00.000Z,2026-03-07T23:45:00.000Z,2026-03-07T23:50:00.000Z,2026-03-07T23:55:00.000Z,2026-03-08T00:00:00.000Z,2026-03-08T00:05:00.000Z,2026-03-08T00:10:00.000Z,2026-03-08T00:15:00.000Z,2026-03-08T00:20:00.000Z,2026-03-08T00:25:00.000Z,2026-03-08T00:30:00.000Z,2026-03-08T00:35:00.000Z,2026-03-08T00:40:00.000Z,2026-03-08T00:45:00.000Z,2026-03-08T00:50:00.000Z,2026-03-08T00:55:00.000Z,2026-03-08T01:00:00.000Z,2026-03-08T01:05:00.000Z,2026-03-08T01:10:00.000Z,2026-03-08T01:15:00.000Z,2026-03-08T01:20:00.000Z,2026-03-08T01:25:00.000Z,2026-03-08T01:30:00.000Z,2026-03-08T01:35:00.000Z,2026-03-08T01:40:00.000Z,2026-03-08T01:45:00.000Z,2026-03-08T01:50:00.000Z,2026-03-08T01:55:00.000Z,2026-03-08T02:00:00.000Z,2026-03-08T02:05:00.000Z,2026-03-08T02:10:00.000Z,2026-03-08T02:15:00.000Z,2026-03-08T02:20:00.000Z,2026-03-08T02:25:00.000Z,2026-03-08T02:30:00.000Z,2026-03-08T02:35:00.000Z,2026-03-08T02:40:00.000Z,2026-03-08T02:45:00.000Z,2026-03-08T02:50:00.000Z,2026-03-08T02:55:00.000Z,2026-03-08T03:00:00.000Z,2026-03-08T03:05:00.000Z,2026-03-08T03:10:00.000Z,2026-03-08T03:15:00.000Z,2026-03-08T03:20:00.000Z,2026-03-08T03:25:00.000Z,2026-03-08T03:30:00.000Z,2026-03-08T03:35:00.000Z,2026-03-08T03:40:00.000Z,2026-03-08T03:45:00.000Z,2026-03-08T03:50:00.000Z,2026-03-08T03:55:00.000Z,2026-03-08T04:00:00.000Z,2026-03-08T04:05:00.000Z,2026-03-08T04:10:00.000Z,2026-03-08T04:15:00.000Z,2026-03-08T04:20:00.000Z,2026-03-08T04:25:00.000Z,2026-03-08T04:30:00.000Z,2026-03-08T04:35:00.000Z,2026-03-08T04:40:00.000Z,2026-03-08T04:45:00.000Z,2026-03-08T04:50:00.000Z,2026-03-08T04:55:00.000Z,2026-03-08T05:00:00.000Z,2026-03-08T05:05:00.000Z,2026-03-08T05:10:00.000Z,2026-03-08T05:15:00.000Z,2026-03-08T05:20:00.000Z,2026-03-08T05:25:00.000Z,2026-03-08T05:30:00.000Z,2026-03-08T05:35:00.000Z,2026-03-08T05:40:00.000Z,2026-03-08T05:45:00.000Z,2026-03-08T05:50:00.000Z,2026-03-08T05:55:00.000Z,2026-03-08T06:00:00.000Z,2026-03-08T06:05:00.000Z,2026-03-08T06:10:00.000Z,2026-03-08T06:15:00.000Z,2026-03-08T06:20:00.000Z,2026-03-08T06:25:00.000Z,2026-03-08T06:30:00.000Z,2026-03-08T06:35:00.000Z,2026-03-08T06:40:00.000Z,2026-03-08T06:45:00.000Z,2026-03-08T06:50:00.000Z,2026-03-08T06:55:00.000Z,2026-03-08T07:00:00.000Z,2026-03-08T07:05:00.000Z,2026-03-08T07:10:00.000Z,2026-03-08T07:15:00.000Z,2026-03-08T07:20:00.000Z,2026-03-08T07:25:00.000Z,2026-03-08T07:30:00.000Z,2026-03-08T07:35:00.000Z,2026-03-08T07:40:00.000Z,2026-03-08T07:45:00.000Z,2026-03-08T07:50:00.000Z,2026-03-08T07:55:00.000Z,2026-03-08T08:00:00.000Z,2026-03-08T08:05:00.000Z,2026-03-08T08:10:00.000Z,2026-03-08T08:15:00.000Z,2026-03-08T08:20:00.000Z,2026-03-08T08:25:00.000Z,2026-03-08T08:30:00.000Z,2026-03-08T08:35:00.000Z,2026-03-08T08:40:00.000Z,2026-03-08T08:45:00.000Z,2026-03-08T08:50:00.000Z,2026-03-08T08:55:00.000Z,2026-03-08T09:00:00.000Z,2026-03-08T09:05:00.000Z,2026-03-08T09:10:00.000Z,2026-03-08T09:15:00.000Z,2026-03-08T09:20:00.000Z,2026-03-08T09:25:00.000Z,2026-03-08T09:30:00.000Z,2026-03-08T09:35:00.000Z,2026-03-08T09:40:00.000Z,2026-03-08T09:45:00.000Z,2026-03-08T09:50:00.000Z,2026-03-08T09:55:00.000Z,2026-03-08T10:00:00.000Z,2026-03-08T10:05:00.000Z,2026-03-08T10:10:00.000Z,2026-03-08T10:15:00.000Z,2026-03-08T10:20:00.000Z,2026-03-08T10:25:00.000Z,2026-03-08T10:30:00.000Z,2026-03-08T10:35:00.000Z,2026-03-08T10:40:00.000Z,2026-03-08T10:45:00.000Z,2026-03-08T10:50:00.000Z,2026-03-08T10:55:00.000Z,2026-03-08T11:00:00.000Z,2026-03-08T11:05:00.000Z,2026-03-08T11:10:00.000Z,2026-03-08T11:15:00.000Z,2026-03-08T11:20:00.000Z,2026-03-08T11:25:00.000Z,2026-03-08T11:30:00.000Z,2026-03-08T11:35:00.000Z,2026-03-08T11:40:00.000Z,2026-03-08T11:45:00.000Z,2026-03-08T11:50:00.000Z,2026-03-08T11:55:00.000Z,2026-03-08T12:00:00.000Z,2026-03-08T12:05:00.000Z,2026-03-08T12:10:00.000Z,2026-03-08T12:15:00.000Z,2026-03-08T12:20:00.000Z,2026-03-08T12:25:00.000Z,2026-03-08T12:30:00.000Z,2026-03-08T12:35:00.000Z,2026-03-08T12:40:00.000Z,2026-03-08T12:45:00.000Z,2026-03-08T12:54:17.752Z
sensor.energy_consumption_total,grid_consumption,kWh,0.2820000000001528,,,,,,,,,,,,0.26299999999991996,,,,,,,,,,,,0.2739999999994325,,,,,,,,,,,,0.28400000000056025,,,,,,,,,,,,0.28700000000026193,,,,,,,,,,,,0.339999999999236,,,,,,,,,,,,0.5399999999999636,,,,,,,,,,,,0.375,,,,,,,,,,,,0.03800000000046566,,,,,,,,,,,,0.047999999999774445,,,,,,,,,,,,0.08399999999983265,,,,,,,,,,,,0,,,,,,,,,,,,0.09900000000016007,,,,,,,,,,,,,,,,,,,,,,
sensor.energy_consumption_total_cost,grid_consumption_cost,EUR,0.06438906000003808,,,,,,,,,,,,0.06005078999998492,,,,,,,,,,,,0.06256241999987289,,,,,,,,,,,,0.06484572000013067,,,,,,,,,,,,0.06553071000006216,,,,,,,,,,,,0.0776321999998304,,,,,,,,,,,,0.12010157999996185,,,,,,,,,,,,0.08562375000000078,,,,,,,,,,,,0.008676540000106314,,,,,,,,,,,,0.01095983999994754,,,,,,,,,,,,0.019179719999961264,,,,,,,,,,,,0,,,,,,,,,,,,0.02214801000015143,,,,,,,,,,,,,,,,,,,,,,
sensor.energy_production_total,grid_return,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.07799999999997453,,,,,,,,,,,,0.34199999999987085,,,,,,,,,,,,0.5830000000000837,,,,,,,,,,,,0.4580000000000837,,,,,,,,,,,,0.4399999999998272,,,,,,,,,,,,,,,,,,,,,,
sensor.energy_production_total_compensation,grid_return_compensation,EUR,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.01758141000000002,,,,,,,,,,,,0.07808885999997095,,,,,,,,,,,,0.13311639000002007,,,,,,,,,,,,0.10457514000001922,,,,,,,,,,,,0.10023686999996517,,,,,,,,,,,,,,,,,,,,,,
sensor.solar_production_front,solar_production,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.009000000000014552,,,,,,,,,,,,0.14999999999986358,,,,,,,,,,,,0.3990000000001146,,,,,,,,,,,,0.5259999999998399,,,,,,,,,,,,0.5230000000001382,,,,,,,,,,,,0.5829999999998563,,,,,,,,,,,,,,,,,,,,,,
sensor.solar_production_rear,solar_production,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.009999999999990905,,,,,,,,,,,,0.12799999999992906,,,,,,,,,,,,0.4539999999999509,,,,,,,,,,,,2.32100000000014,,,,,,,,,,,,2.8179999999999836,,,,,,,,,,,,2.5579999999999927,,,,,,,,,,,,,,,,,,,,,,
sensor.solar_production_rear_extenstion,solar_production,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.0049999999999954525,,,,,,,,,,,,0.06299999999998818,,,,,,,,,,,,0.19200000000000728,,,,,,,,,,,,0.5709999999999127,,,,,,,,,,,,0.7880000000000109,,,,,,,,,,,,0.8910000000000764,,,,,,,,,,,,,,,,,,,,,,
sensor.solar_forecast,solar_production,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.gas_meter_gas_consumption,gas_consumption,m3,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.07999999999992724,,,,,,,,,,,,0.5979999999999563,,,,,,,,,,,,0,,,,,,,,,,,,0.29799999999977445,,,,,,,,,,,,0.7110000000002401,,,,,,,,,,,,0.0819999999994252,,,,,,,,,,,,0.0010000000002037268,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.gas_meter_gas_consumption_cost,gas_consumption_cost,EUR,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.08814719999986664,,,,,,,,,,,,0.5674476000003779,,,,,,,,,,,,0,,,,,,,,,,,,0.27545999999995274,,,,,,,,,,,,0.7834082400001989,,,,,,,,,,,,0.09035087999939151,,,,,,,,,,,,0.0011018400002740236,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.watermeter_total_water_usage,water_consumption,L,0,,,,,,,,,,,,0,,,,,,,,,,,,9,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,35,,,,,,,,,,,,169,,,,,,,,,,,,22,,,,,,,,,,,,10,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
