entity_id,state,last_changed
sensor.envoy_122252032811_balanced_net_power_consumption,0.288,2026-03-01T05:00:00.000Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.29,2026-03-01T05:01:01.795Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.292,2026-03-01T05:02:02.468Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.293,2026-03-01T05:03:04.328Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.339,2026-03-01T05:04:06.149Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.34,2026-03-01T05:05:08.386Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.3,2026-03-01T05:06:09.637Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.298,2026-03-01T05:07:10.826Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.301,2026-03-01T05:08:12.034Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.303,2026-03-01T05:09:13.958Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.304,2026-03-01T05:10:16.555Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.303,2026-03-01T05:12:23.130Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.305,2026-03-01T05:13:26.161Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.428,2026-03-01T05:14:28.880Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.343,2026-03-01T05:15:30.845Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.414,2026-03-01T05:16:32.273Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.412,2026-03-01T05:17:36.064Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.438,2026-03-01T05:18:38.524Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.451,2026-03-01T05:19:40.258Z
sensor.envoy_122252032811_balanced_net_power_consumption,3.205,2026-03-01T05:20:41.640Z
sensor.envoy_122252032811_balanced_net_power_consumption,1.874,2026-03-01T05:21:43.024Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.457,2026-03-01T05:22:45.173Z
sensor.envoy_122252032811_balanced_net_power_consumption,2.353,2026-03-01T05:23:47.410Z
sensor.envoy_122252032811_balanced_net_power_consumption,2.99,2026-03-01T05:24:49.549Z
sensor.envoy_122252032811_balanced_net_power_consumption,2.625,2026-03-01T05:25:51.902Z
sensor.envoy_122252032811_balanced_net_power_consumption,2.004,2026-03-01T05:26:54.175Z
sensor.envoy_122252032811_balanced_net_power_consumption,2.12,2026-03-01T05:27:56.905Z
sensor.envoy_122252032811_balanced_net_power_consumption,2.558,2026-03-01T05:28:59.733Z
sensor.envoy_122252032811_balanced_net_power_consumption,2.088,2026-03-01T05:30:01.301Z
sensor.envoy_122252032811_balanced_net_power_consumption,2.043,2026-03-01T05:31:02.928Z
sensor.envoy_122252032811_balanced_net_power_consumption,2.412,2026-03-01T05:32:04.977Z
sensor.envoy_122252032811_balanced_net_power_consumption,2.047,2026-03-01T05:33:07.091Z
sensor.envoy_122252032811_balanced_net_power_consumption,2.041,2026-03-01T05:34:09.729Z
sensor.envoy_122252032811_balanced_net_power_consumption,2.271,2026-03-01T05:35:11.823Z
sensor.envoy_122252032811_balanced_net_power_consumption,1.686,2026-03-01T05:36:13.191Z
sensor.envoy_122252032811_balanced_net_power_consumption,1.775,2026-03-01T05:37:15.529Z
sensor.envoy_122252032811_balanced_net_power_consumption,1.83,2026-03-01T05:38:17.061Z
sensor.envoy_122252032811_balanced_net_power_consumption,1.776,2026-03-01T05:39:19.228Z
sensor.envoy_122252032811_balanced_net_power_consumption,1.844,2026-03-01T05:40:21.614Z
sensor.envoy_122252032811_balanced_net_power_consumption,1.749,2026-03-01T05:41:23.240Z
sensor.envoy_122252032811_balanced_net_power_consumption,1.773,2026-03-01T05:42:25.278Z
sensor.envoy_122252032811_balanced_net_power_consumption,1.717,2026-03-01T05:43:27.182Z
sensor.envoy_122252032811_balanced_net_power_consumption,3.219,2026-03-01T05:44:28.819Z
sensor.envoy_122252032811_balanced_net_power_consumption,2.524,2026-03-01T05:45:30.936Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.503,2026-03-01T05:46:33.477Z
