entity_id,state,last_changed
sensor.envoy_122252032811_balanced_net_power_consumption,0.243,2026-02-28T23:00:00.000Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.244,2026-02-28T23:01:58.399Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.243,2026-02-28T23:03:00.058Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.24,2026-02-28T23:04:02.590Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.243,2026-02-28T23:05:03.530Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.244,2026-02-28T23:06:05.536Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.243,2026-02-28T23:08:09.319Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.244,2026-02-28T23:09:11.046Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.245,2026-02-28T23:11:16.661Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.244,2026-02-28T23:13:23.658Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.245,2026-02-28T23:14:25.059Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.258,2026-02-28T23:15:28.045Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.245,2026-02-28T23:16:30.315Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.246,2026-02-28T23:17:39.856Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.242,2026-02-28T23:18:42.150Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.235,2026-02-28T23:21:49.177Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.234,2026-02-28T23:22:51.844Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.235,2026-02-28T23:24:55.028Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.233,2026-02-28T23:25:57.049Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.237,2026-02-28T23:26:59.386Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.236,2026-02-28T23:28:01.907Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.234,2026-02-28T23:29:04.469Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.236,2026-02-28T23:30:06.234Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.234,2026-02-28T23:31:08.095Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.235,2026-02-28T23:32:10.352Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.274,2026-02-28T23:34:14.242Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.275,2026-02-28T23:35:16.654Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.273,2026-02-28T23:36:18.747Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.276,2026-02-28T23:37:23.259Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.273,2026-02-28T23:38:25.788Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.272,2026-02-28T23:39:27.233Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.27,2026-02-28T23:40:29.151Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.268,2026-02-28T23:41:31.737Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.269,2026-02-28T23:42:34.860Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.27,2026-02-28T23:43:36.316Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.268,2026-02-28T23:44:38.141Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.233,2026-02-28T23:45:39.661Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.231,2026-02-28T23:46:41.050Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.23,2026-02-28T23:47:43.400Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.233,2026-02-28T23:48:45.105Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.23,2026-02-28T23:49:47.062Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.233,2026-02-28T23:50:48.953Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.23,2026-02-28T23:51:51.205Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.305,2026-02-28T23:53:55.079Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.304,2026-02-28T23:54:56.432Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.305,2026-02-28T23:55:58.860Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.303,2026-02-28T23:57:00.094Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.304,2026-02-28T23:58:02.171Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.303,2026-02-28T23:59:04.424Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.307,2026-03-01T00:00:05.492Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.306,2026-03-01T00:01:07.164Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.307,2026-03-01T00:02:09.605Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.304,2026-03-01T00:03:11.727Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.306,2026-03-01T00:05:17.648Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.307,2026-03-01T00:06:19.425Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.306,2026-03-01T00:07:22.657Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.307,2026-03-01T00:08:24.313Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.304,2026-03-01T00:10:28.334Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.307,2026-03-01T00:11:29.529Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.303,2026-03-01T00:12:31.837Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.305,2026-03-01T00:13:33.327Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.306,2026-03-01T00:14:34.993Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.305,2026-03-01T00:15:37.598Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.303,2026-03-01T00:16:39.044Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.302,2026-03-01T00:20:46.312Z
sensor.envoy_122252032811_balanced_net_power_consumption,0.234,2026-03-01T00:23:51.880Z
