entity_id,state,last_changed
number.stormbreaker_tessie_charge_current,5,2026-02-27T10:00:00.000Z
number.stormbreaker_tessie_charge_current,5.0,2026-02-27T10:06:38.697Z
number.stormbreaker_tessie_charge_current,5,2026-02-27T10:06:46.628Z
number.stormbreaker_tessie_charge_current,4.0,2026-02-27T10:06:54.828Z
number.stormbreaker_tessie_charge_current,4,2026-02-27T10:06:56.639Z
number.stormbreaker_tessie_charge_current,3.0,2026-02-27T10:06:58.700Z
number.stormbreaker_tessie_charge_current,4,2026-02-27T10:07:06.666Z
number.stormbreaker_tessie_charge_current,2.0,2026-02-27T10:07:08.712Z
number.stormbreaker_tessie_charge_current,4,2026-02-27T10:07:17.014Z
number.stormbreaker_tessie_charge_current,1.0,2026-02-27T10:07:18.706Z
number.stormbreaker_tessie_charge_current,4,2026-02-27T10:07:27.653Z
number.stormbreaker_tessie_charge_current,16.0,2026-02-27T10:07:40.787Z
number.stormbreaker_tessie_charge_current,4,2026-02-27T10:07:47.641Z
number.stormbreaker_tessie_charge_current,5.0,2026-02-27T10:10:10.832Z
number.stormbreaker_tessie_charge_current,5,2026-02-27T10:10:18.638Z
number.stormbreaker_tessie_charge_current,6.0,2026-02-27T10:10:58.721Z
number.stormbreaker_tessie_charge_current,5,2026-02-27T10:11:08.637Z
number.stormbreaker_tessie_charge_current,5.0,2026-02-27T10:18:58.812Z
number.stormbreaker_tessie_charge_current,5,2026-02-27T10:18:59.675Z
number.stormbreaker_tessie_charge_current,6.0,2026-02-27T10:20:00.676Z
number.stormbreaker_tessie_charge_current,6,2026-02-27T10:20:10.678Z
number.stormbreaker_tessie_charge_current,7.0,2026-02-27T10:20:48.822Z
number.stormbreaker_tessie_charge_current,6,2026-02-27T10:20:50.633Z
number.stormbreaker_tessie_charge_current,6.0,2026-02-27T10:26:08.857Z
number.stormbreaker_tessie_charge_current,6,2026-02-27T10:26:10.643Z
number.stormbreaker_tessie_charge_current,5.0,2026-02-27T10:26:20.988Z
number.stormbreaker_tessie_charge_current,4.0,2026-02-27T10:26:28.863Z
number.stormbreaker_tessie_charge_current,5,2026-02-27T10:26:30.641Z
number.stormbreaker_tessie_charge_current,3.0,2026-02-27T10:26:38.861Z
number.stormbreaker_tessie_charge_current,5,2026-02-27T10:26:40.636Z
number.stormbreaker_tessie_charge_current,2.0,2026-02-27T10:26:48.867Z
number.stormbreaker_tessie_charge_current,5,2026-02-27T10:26:50.644Z
number.stormbreaker_tessie_charge_current,1.0,2026-02-27T10:26:58.862Z
number.stormbreaker_tessie_charge_current,5,2026-02-27T10:27:00.638Z
number.stormbreaker_tessie_charge_current,5.0,2026-02-27T10:27:41.030Z
number.stormbreaker_tessie_charge_current,5,2026-02-27T10:27:50.629Z
number.stormbreaker_tessie_charge_current,4.0,2026-02-27T10:29:16.192Z
number.stormbreaker_tessie_charge_current,4,2026-02-27T10:29:20.640Z
number.stormbreaker_tessie_charge_current,3.0,2026-02-27T10:29:21.044Z
number.stormbreaker_tessie_charge_current,4,2026-02-27T10:29:30.632Z
number.stormbreaker_tessie_charge_current,2.0,2026-02-27T10:29:31.032Z
number.stormbreaker_tessie_charge_current,4,2026-02-27T10:29:40.639Z
number.stormbreaker_tessie_charge_current,1.0,2026-02-27T10:29:41.045Z
number.stormbreaker_tessie_charge_current,4,2026-02-27T10:29:50.647Z
number.stormbreaker_tessie_charge_current,16.0,2026-02-27T10:30:03.425Z
number.stormbreaker_tessie_charge_current,4,2026-02-27T10:30:10.783Z
number.stormbreaker_tessie_charge_current,2.0,2026-02-27T10:32:37.203Z
number.stormbreaker_tessie_charge_current,2,2026-02-27T10:32:40.633Z
number.stormbreaker_tessie_charge_current,3.0,2026-02-27T10:33:01.065Z
number.stormbreaker_tessie_charge_current,2,2026-02-27T10:33:10.640Z
number.stormbreaker_tessie_charge_current,4.0,2026-02-27T10:55:07.884Z
number.stormbreaker_tessie_charge_current,4,2026-02-27T10:55:11.806Z
number.stormbreaker_tessie_charge_current,5.0,2026-02-27T10:56:03.892Z
number.stormbreaker_tessie_charge_current,5,2026-02-27T10:56:12.641Z
number.stormbreaker_tessie_charge_current,4.0,2026-02-27T10:57:19.400Z
number.stormbreaker_tessie_charge_current,3.0,2026-02-27T10:57:21.607Z
number.stormbreaker_tessie_charge_current,4,2026-02-27T10:57:22.634Z
number.stormbreaker_tessie_charge_current,2.0,2026-02-27T10:57:31.610Z
number.stormbreaker_tessie_charge_current,4,2026-02-27T10:57:32.642Z
number.stormbreaker_tessie_charge_current,1.0,2026-02-27T10:57:41.604Z
number.stormbreaker_tessie_charge_current,4,2026-02-27T10:57:42.644Z
number.stormbreaker_tessie_charge_current,16.0,2026-02-27T10:58:04.234Z
number.stormbreaker_tessie_charge_current,4,2026-02-27T10:58:12.642Z
number.stormbreaker_tessie_charge_current,2.0,2026-02-27T11:00:38.334Z
number.stormbreaker_tessie_charge_current,2,2026-02-27T11:00:42.651Z
number.stormbreaker_tessie_charge_current,3.0,2026-02-27T11:00:51.637Z
number.stormbreaker_tessie_charge_current,2,2026-02-27T11:00:52.638Z
number.stormbreaker_tessie_charge_current,4.0,2026-02-27T11:02:07.950Z
number.stormbreaker_tessie_charge_current,4,2026-02-27T11:02:12.641Z
number.stormbreaker_tessie_charge_current,5.0,2026-02-27T11:04:24.022Z
number.stormbreaker_tessie_charge_current,5,2026-02-27T11:04:32.639Z
number.stormbreaker_tessie_charge_current,6.0,2026-02-27T11:05:23.779Z
number.stormbreaker_tessie_charge_current,6,2026-02-27T11:05:32.638Z
number.stormbreaker_tessie_charge_current,5.0,2026-02-27T11:09:33.586Z
number.stormbreaker_tessie_charge_current,4.0,2026-02-27T11:09:41.684Z
number.stormbreaker_tessie_charge_current,5,2026-02-27T11:09:42.645Z
number.stormbreaker_tessie_charge_current,3.0,2026-02-27T11:09:51.698Z
number.stormbreaker_tessie_charge_current,5,2026-02-27T11:09:52.648Z
number.stormbreaker_tessie_charge_current,2.0,2026-02-27T11:10:01.686Z
number.stormbreaker_tessie_charge_current,5,2026-02-27T11:10:02.649Z
number.stormbreaker_tessie_charge_current,1.0,2026-02-27T11:10:11.685Z
number.stormbreaker_tessie_charge_current,5,2026-02-27T11:10:12.656Z
number.stormbreaker_tessie_charge_current,16.0,2026-02-27T11:10:36.064Z
number.stormbreaker_tessie_charge_current,16,2026-02-27T11:10:42.642Z
number.stormbreaker_tessie_charge_current,2.0,2026-02-27T11:13:07.918Z
number.stormbreaker_tessie_charge_current,2,2026-02-27T11:13:16.846Z
number.stormbreaker_tessie_charge_current,3.0,2026-02-27T11:14:48.260Z
number.stormbreaker_tessie_charge_current,2,2026-02-27T11:14:56.641Z
number.stormbreaker_tessie_charge_current,3,2026-02-27T11:15:06.639Z
number.stormbreaker_tessie_charge_current,4,2026-02-27T11:16:47.660Z
number.stormbreaker_tessie_charge_current,4.0,2026-02-27T11:16:48.185Z
number.stormbreaker_tessie_charge_current,4,2026-02-27T11:16:57.630Z
number.stormbreaker_tessie_charge_current,3,2026-02-27T11:18:57.652Z
number.stormbreaker_tessie_charge_current,3.0,2026-02-27T11:18:58.338Z
number.stormbreaker_tessie_charge_current,2.0,2026-02-27T11:19:01.747Z
number.stormbreaker_tessie_charge_current,3,2026-02-27T11:19:07.644Z
number.stormbreaker_tessie_charge_current,1.0,2026-02-27T11:19:11.738Z
number.stormbreaker_tessie_charge_current,3,2026-02-27T11:19:17.643Z
number.stormbreaker_tessie_charge_current,16.0,2026-02-27T11:19:33.773Z
number.stormbreaker_tessie_charge_current,3,2026-02-27T11:19:37.776Z
number.stormbreaker_tessie_charge_current,2.0,2026-02-27T11:22:06.757Z
number.stormbreaker_tessie_charge_current,2,2026-02-27T11:22:07.639Z
number.stormbreaker_tessie_charge_current,1.0,2026-02-27T11:26:06.933Z
number.stormbreaker_tessie_charge_current,2,2026-02-27T11:26:08.677Z
number.stormbreaker_tessie_charge_current,1,2026-02-27T11:26:18.774Z
number.stormbreaker_tessie_charge_current,16.0,2026-02-27T11:26:24.499Z
number.stormbreaker_tessie_charge_current,1,2026-02-27T11:26:28.645Z
number.stormbreaker_tessie_charge_current,1.0,2026-02-27T11:28:51.984Z
number.stormbreaker_tessie_charge_current,1,2026-02-27T11:28:58.659Z
number.stormbreaker_tessie_charge_current,2.0,2026-02-27T11:30:08.268Z
number.stormbreaker_tessie_charge_current,2,2026-02-27T11:30:09.654Z
number.stormbreaker_tessie_charge_current,1.0,2026-02-27T11:42:38.846Z
number.stormbreaker_tessie_charge_current,1,2026-02-27T11:42:43.706Z
number.stormbreaker_tessie_charge_current,16.0,2026-02-27T11:42:54.715Z
number.stormbreaker_tessie_charge_current,1,2026-02-27T11:43:03.645Z
number.stormbreaker_tessie_charge_current,14,2026-02-27T11:44:23.644Z
number.stormbreaker_tessie_charge_current,16,2026-02-27T11:45:23.633Z
number.stormbreaker_tessie_charge_current,1.0,2026-02-27T11:45:58.651Z
number.stormbreaker_tessie_charge_current,16,2026-02-27T11:46:04.210Z
number.stormbreaker_tessie_charge_current,1,2026-02-27T11:46:24.642Z
number.stormbreaker_tessie_charge_current,2.0,2026-02-27T11:46:42.384Z
number.stormbreaker_tessie_charge_current,1,2026-02-27T11:46:44.670Z
number.stormbreaker_tessie_charge_current,16.0,2026-02-27T11:51:56.844Z
number.stormbreaker_tessie_charge_current,16,2026-02-27T11:51:57.635Z
number.stormbreaker_tessie_charge_current,1,2026-02-27T11:57:17.686Z
number.stormbreaker_tessie_charge_current,1.0,2026-02-27T11:57:19.593Z
number.stormbreaker_tessie_charge_current,1,2026-02-27T11:57:28.210Z
number.stormbreaker_tessie_charge_current,16.0,2026-02-27T12:02:17.100Z
number.stormbreaker_tessie_charge_current,16,2026-02-27T12:02:19.714Z
number.stormbreaker_tessie_charge_current,1.0,2026-02-27T12:06:29.082Z
number.stormbreaker_tessie_charge_current,1,2026-02-27T12:06:32.646Z
